,date,open,high,low,close,volume,market_cap,RSI,delta,sell_points,buy_points,pct_change,RSI_Delta,RSI_pct_change,bought_sold,open_class,high_class,low_class,close_class,volume_class,open_prev,high_prev,low_prev,volume_prev
0,2021-06-02,2634.46,2801.39,2555.4,2706.12,27723267359,314266256163,54.12351735492759,72.59999999999991,0,0,0.02756766608949235,13.887727154320203,0.34515855374229876,0,0,1,1,1,1,2707.56,2739.74,2531.16,27363223090
1,2021-06-01,2707.56,2739.74,2531.16,2633.52,27363223090,305798597367,40.23579020060739,-81.42999999999984,0,0,-0.029993185878192885,-2.373863549070265,-0.0557118713758199,0,1,1,1,0,0,2387.2,2715.86,2279.51,31007383150
2,2021-05-31,2387.2,2715.86,2279.51,2714.95,31007383150,315217277483,42.609653749677655,324.6399999999999,0,0,0.13581501980914612,8.28145184371892,0.24124339126196448,0,1,1,1,1,1,2278.29,2472.19,2188.83,25876619428
3,2021-05-30,2278.29,2472.19,2188.83,2390.31,25876619428,277492990927,34.328201905958736,110.79999999999973,0,0,0.04860693745585665,2.3976596134181563,0.07508984944418828,0,0,0,0,1,0,2414.07,2566.94,2208.49,33773720220
4,2021-05-29,2414.07,2566.94,2208.49,2279.51,33773720220,264600384052,31.93054229254058,-140.39999999999964,0,0,-0.05801868664537091,2.363675705513643,0.07994339537320982,0,0,0,0,0,0,2742.47,2761.36,2336.36,39999114805
5,2021-05-28,2742.47,2761.36,2336.36,2419.91,39999114805,280864129343,29.566866587026936,-316.5799999999999,0,1,-0.11568834528903815,-8.519409488624099,-0.22368712214609632,1,0,0,0,0,1,2888.75,2888.75,2642.61,33373635283
6,2021-05-27,2888.75,2888.75,2642.61,2736.49,33373635283,317571010585,38.086276075651035,-152.21000000000004,0,0,-0.052691522137986,-0.771135053151653,-0.019845250384682878,0,1,0,0,0,0,2707.05,2911.74,2652.09,42499766020
7,2021-05-26,2707.05,2911.74,2652.09,2888.7,42499766020,335196485646,38.85741112880269,182.0699999999997,0,0,0.06726815264738795,6.153669306276036,0.18816407430287785,0,1,1,1,1,0,2649.03,2750.53,2394.36,49558333256
8,2021-05-25,2649.03,2750.53,2394.36,2706.63,49558333256,314033309034,32.70374182252665,63.039999999999964,0,0,0.0238463604416721,-2.356487588056197,-0.06721255472860355,0,1,1,1,1,0,2099.94,2672.6,2090.64,53697121740
9,2021-05-24,2099.94,2672.6,2090.64,2643.59,53697121740,306684156290,35.06022941058285,534.0100000000002,0,0,0.25313569525687596,8.5687682903976,0.32345397075394233,0,0,1,1,1,0,2298.37,2384.41,1737.47,56005721977
10,2021-05-23,2298.37,2384.41,1737.47,2109.58,56005721977,244704904961,26.49146112018525,-186.1300000000001,0,0,-0.08107731377220995,-1.8482793244125588,-0.0652186398116742,1,0,0,0,0,1,2436.01,2483.98,2168.12,42089937660
